"DR_Number","Date_Reported","Date_Occurred","Time_Occurred","Area_ID","Area_Name","Reporting_District_Num","Priority_Code","Crime_Code","Crime_Code_Description","MO_Codes","Victim_Age","Victim_Sex","Victim_Descent","Premise_Code","Premise_Description","Weapon_Used_Code","Weapon_Description","Status_Code","Status_Description","Crime_Address","Cross_Street","latitude","longitude"
192020405,"2019-11-22","2019-11-22",1600,20,"Olympic",2079,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0342 0344 0385 1309",34,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","2200 W  15TH                         ST","N/A",34.0453,-118.286
192119137,"2019-11-27","2019-11-25",1800,21,"Topanga",2177,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1602 0344",42,"F","B",120,"STORAGE SHED","N/A","N/A","IC","Invest Cont","21500    CALIFA                       ST","N/A",34.1773,-118.599
191223483,"2019-09-26","2019-09-26",1145,12,"77th Street",1233,1,210,"ROBBERY","0344 0400 0431",25,"M","H",210,"RESTAURANT/FAST FOOD","512","MACE/PEPPER SPRAY","IC","Invest Cont","1900 W  SLAUSON                      AV","N/A",33.9892,-118.311
190515226,"2019-09-09","2019-09-06",1500,5,"Harbor",518,2,434,"FALSE IMPRISONMENT","0432 0913 1251 1259 1814 1815",16,"F","H",721,"HIGH SCHOOL","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1500    LAKME                        AV","N/A",33.7935,-118.261
191821990,"2019-10-19","2019-10-14",1130,18,"Southeast",1849,2,900,"VIOLATION OF COURT ORDER","2038 0913 1259 2024 2000 1814",16,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","11500 S  MONA                         BL","N/A",33.9327,-118.235
200504931,"2020-01-22","2020-01-21",430,5,"Harbor",581,2,946,"OTHER MISCELLANEOUS CRIME","1300 0216 1202 0321 1309",65,"M","W",104,"DRIVEWAY","N/A","N/A","IC","Invest Cont","1800    GRENADIER                    DR","N/A",33.7272,-118.317
190721100,"2019-12-16","2019-12-14",1350,7,"Wilshire",701,1,330,"BURGLARY FROM VEHICLE","1300 1307 0344",31,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","CLINTON                      ST","FAIRFAX                      AV",34.0817,-118.362
190716747,"2019-09-17","2019-09-12",1000,7,"Wilshire",773,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",64,"M","B",101,"STREET","N/A","N/A","IC","Invest Cont","1800    HAUSER                       BL","N/A",34.0417,-118.359
191108402,"2019-04-02","2019-04-01",1130,11,"Northeast",1101,1,330,"BURGLARY FROM VEHICLE","1307 1609 0344 1300",39,"M","W",101,"STREET","N/A","N/A","IC","Invest Cont","2800 E  OBSERVATORY                  RD","N/A",34.1192,-118.3
190623330,"2019-12-04","2019-12-04",1850,6,"Hollywood",667,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","329",32,"M","B",101,"STREET","N/A","N/A","IC","Invest Cont","1300 N  GORDON                       ST","N/A",34.0944,-118.32
192106335,"2019-02-22","2019-02-22",315,21,"Topanga",2189,1,761,"BRANDISH WEAPON","1310 1202 0334 1822",66,"M","W",108,"PARKING LOT","200","KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont","20000    VENTURA                      BL","N/A",34.1719,-118.568
190407905,"2019-03-31","2019-03-17",350,4,"Hollenbeck",457,2,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER","344",26,"F","H",101,"STREET","N/A","N/A","IC","Invest Cont","2400    FOLSOM                       ST","N/A",34.0486,-118.207
192015697,"2019-08-23","2019-08-23",400,20,"Olympic",2029,1,330,"BURGLARY FROM VEHICLE","0344 0358 0378 1307 1609",26,"F","A",707,"GARAGE/CARPORT","N/A","N/A","IC","Invest Cont","300 S  HOOVER                       ST","N/A",34.0652,-118.288
190615956,"2019-07-22","2019-07-22",1040,6,"Hollywood",645,2,886,"DISTURBING THE PEACE","1252",39,"F","H",102,"SIDEWALK","N/A","N/A","IC","Invest Cont","HOLLYWOOD","ORANGE",34.1016,-118.341
190617451,"2019-08-16","2019-08-09",100,6,"Hollywood",646,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",32,"F","W",710,"OTHER PREMISE","N/A","N/A","IC","Invest Cont","6400    SELMA                        AV","N/A",34.0998,-118.33
190805637,"2019-02-07","2019-02-07",1200,8,"West LA",831,2,625,"OTHER ASSAULT","0356 2004",23,"F","H",203,"OTHER BUSINESS","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","12000    WILSHIRE                     BL","N/A",34.0473,-118.477
191909978,"2019-05-06","2019-05-03",200,19,"Mission",1915,2,624,"BATTERY - SIMPLE ASSAULT","419",30,"F","H",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","12700    NORRIS                       AV","N/A",34.3009,-118.451
191504311,"2019-01-07","2019-01-06",1800,15,"N Hollywood",1555,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0416 2002 2003 2000 1814 0421 2004 1218",34,"F","W",108,"PARKING LOT","511","VERBAL THREAT","AO","Adult Other","11300    CAMARILLO                    ST","N/A",34.1577,-118.377
190118227,"2019-07-12","2019-07-12",1630,1,"Central",157,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","2032 1218 0344",32,"M","B",710,"OTHER PREMISE","N/A","N/A","IC","Invest Cont","500    CROCKER                      ST","N/A",34.0435,-118.243
191313675,"2019-06-21","2019-05-23",900,13,"Newton",1317,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","2032 0344",57,"F","O",203,"OTHER BUSINESS","N/A","N/A","IC","Invest Cont","1300    NEWTON                       ST","N/A",34.028,-118.247
200505258,"2020-01-30","2020-01-30",1700,5,"Harbor",511,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","2005 1300 0329 2004 0216",41,"F","W",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","FRAMPTON","PACIFIC COAST",33.7895,-118.3
191713518,"2019-07-30","2019-07-02",1200,17,"Devonshire",1779,2,354,"THEFT OF IDENTITY","1202 1822 0923",62,"M","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","15700    NORDHOFF                     ST","N/A",34.2409,-118.478
200505285,"2020-01-31","2020-01-31",100,5,"Harbor",564,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","1402 0329 1300",44,"F","B",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","MESA","5TH                          ST",33.7397,-118.286
190114858,"2019-05-31","2019-05-31",1200,1,"Central",139,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 1606",21,"F","B",101,"STREET","N/A","N/A","IC","Invest Cont","300 S  SANTA FE                     AV","N/A",34.046,-118.233
201507573,"2019-12-28","2019-11-27",500,15,"N Hollywood",1599,2,860,"BATTERY WITH SEXUAL CONTACT","0400 0500 0522 0913 1206 2034 1820",32,"F","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","3200    OAKLEY                       DR","N/A",34.1299,-118.359
191006505,"2019-02-26","2019-02-22",1430,10,"West Valley",1028,2,860,"BATTERY WITH SEXUAL CONTACT","N/A",20,"F","O",203,"OTHER BUSINESS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","16800    VICTORY                      BL","N/A",34.1939,-118.497
191825439,"2019-12-22","2019-12-21",2130,18,"Southeast",1844,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0401 0421",35,"M","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","800 E  113TH                        ST","N/A",33.9319,-118.26
190128568,"2019-12-04","2019-12-01",2000,1,"Central",124,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0913 0408",19,"F","W",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","100 W  1ST                          ST","N/A",34.0522,-118.243
191212851,"2019-05-03","2019-05-03",1430,12,"77th Street",1257,1,350,"THEFT, PERSON","1822 0305 0336 0352 0344 0346 0326 1309",36,"F","H",102,"SIDEWALK","N/A","N/A","IC","Invest Cont","78TH                         ST","HOOVER                       ST",33.9688,-118.287
190811241,"2019-06-15","2019-06-15",1540,8,"West LA",808,2,624,"BATTERY - SIMPLE ASSAULT","0446 1309 0416 1822",46,"M","H",104,"DRIVEWAY","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","9600    YOAKUM                       DR","N/A",34.1147,-118.427
190806570,"2019-02-25","2019-02-25",1445,8,"West LA",895,2,624,"BATTERY - SIMPLE ASSAULT","0917 0913 0417",57,"F","H",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JO","Juv Other","QUEENSBURY                   DR","CAVENDISH",34.0344,-118.408
191413369,"2019-06-02","2019-06-02",150,14,"Pacific",1432,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","1813 0400 0416 0408 2000 1206 1241 1821 2002",33,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","600    MILWOOD                      AV","N/A",33.9909,-118.465
201507193,"2020-03-05","2019-07-17",1700,15,"N Hollywood",1599,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","344",31,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","3200    ELLINGTON                    DR","N/A",34.1276,-118.351
191912749,"2019-07-01","2019-07-01",2300,19,"Mission",1959,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1202 2000 1813 0302 0913",62,"F","H",501,"SINGLE FAMILY DWELLING","104","SHOTGUN","AA","Adult Arrest","14200    MONTFORD                     ST","N/A",34.2595,-118.443
191518633,"2019-10-08","2019-10-08",500,15,"N Hollywood",1513,2,624,"BATTERY - SIMPLE ASSAULT","2004 0416 0417 0444",59,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","7100    WHITSETT                     AV","N/A",34.1994,-118.405
191312277,"2019-05-28","2019-05-28",1530,13,"Newton",1333,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","1259 1251 0443 0913",16,"F","H",101,"STREET","511","VERBAL THREAT","IC","Invest Cont","2900    MAPLE                        AV","N/A",34.021,-118.267
190104296,"2019-01-04","2019-01-04",1910,1,"Central",164,2,624,"BATTERY - SIMPLE ASSAULT","0416 1218",43,"F","B",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","5TH                          ST","SPRING",34.0446,-118.251
190814215,"2019-08-16","2019-08-16",700,8,"West LA",887,1,310,"BURGLARY","1402 1822 0321 0344 0216 0314 0358 0377 1601",65,"F","O",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","9500    BOLTON                       RD","N/A",34.0456,-118.395
191210109,"2019-03-27","2019-03-27",1350,12,"77th Street",1249,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1820 0448 0913",30,"M","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","6400    DENVER                       AV","N/A",33.9812,-118.284
192020167,"2019-11-18","2019-11-18",200,20,"Olympic",2071,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0329 0416 0429 0444 0448 1241 1821 2000",32,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","1500 S  GRAMERCY                     PL","N/A",34.0454,-118.313
192116830,"2019-10-07","2019-10-07",1000,21,"Topanga",2177,2,662,"BUNCO, GRAND THEFT","800",59,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","5500    CANOGA                       AV","N/A",34.1715,-118.597
191205536,"2019-01-23","2019-01-22",1955,12,"77th Street",1265,1,110,"CRIMINAL HOMICIDE","1100 1309 1300 1310 0430 0906 1822",27,"M","B",101,"STREET","106","UNKNOWN FIREARM","IC","Invest Cont","81ST                         PL","BUDLONG                      AV",33.9655,-118.296
191229650,"2019-12-22","2019-12-10",1700,12,"77th Street",1273,1,480,"BIKE - STOLEN","0910 0344",62,"M","B",801,"MTA BUS","N/A","N/A","IC","Invest Cont","MANCHESTER","WESTERN",33.96,-118.309
191613070,"2019-08-22","2019-08-22",1520,16,"Foothill",1684,2,624,"BATTERY - SIMPLE ASSAULT","444",29,"F","W",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","ARMINTA                      ST","SIMPSON                      AV",34.2139,-118.389
190708719,"2019-04-06","2019-04-05",2300,7,"Wilshire",785,1,231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER","1212 1309 1310 0400 1822",18,"X","X",101,"STREET","307","VEHICLE","IC","Invest Cont","LONGWOOD                     AV","21ST                         ST",34.038,-118.346
191505926,"2019-02-05","2019-02-04",2330,15,"N Hollywood",1595,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",24,"F","H",210,"RESTAURANT/FAST FOOD","N/A","N/A","IC","Invest Cont","11700    VENTURA                      BL","N/A",34.1413,-118.388
190123002,"2019-09-13","2019-09-13",1220,1,"Central",162,2,624,"BATTERY - SIMPLE ASSAULT","417",52,"M","W",401,"MINI-MART","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","500 W  7TH                          ST","N/A",34.0467,-118.256
192106005,"2019-02-13","2019-02-13",1210,21,"Topanga",2143,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 0377",42,"F","W",404,"DEPARTMENT STORE","N/A","N/A","IC","Invest Cont","FALLBROOK","VICTORY",34.1864,-118.623
190513274,"2019-07-28","2019-07-28",2140,5,"Harbor",564,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0216 0416 0450 1822 1402 1407 1100 0906",17,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","102","HAND GUN","IC","Invest Cont","200 W  SANTA CRUZ                   ST","N/A",33.741,-118.284
192006257,"2019-02-17","2019-02-16",1300,20,"Olympic",2023,1,330,"BURGLARY FROM VEHICLE","0358 0344",25,"F","O",707,"GARAGE/CARPORT","N/A","N/A","IC","Invest Cont","400 S  HARVARD                      BL","N/A",34.0672,-118.304
191110623,"2019-05-17","2019-05-17",2000,11,"Northeast",1124,2,624,"BATTERY - SIMPLE ASSAULT","0400 0416",17,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","3400    DREW                         ST","N/A",34.1211,-118.241
191411503,"2019-05-01","2019-05-01",2040,14,"Pacific",1474,1,310,"BURGLARY","0314 1606 0344",49,"F","W",501,"SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","8100    FORDHAM                      RD","N/A",33.9643,-118.419
190513549,"2019-08-04","2019-08-04",1110,5,"Harbor",566,2,624,"BATTERY - SIMPLE ASSAULT","0444 0429 1817 0345 0416 1218 2004",64,"F","W",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","900 S  BEACON                       ST","N/A",33.7347,-118.284
191617670,"2019-12-16","2019-11-29",1300,16,"Foothill",1684,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",45,"M","W",402,"MARKET","N/A","N/A","IC","Invest Cont","8000    WEBB                         AV","N/A",34.2157,-118.388
190315801,"2019-06-28","2019-06-23",1,3,"Southwest",318,1,821,"SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH","0519 0413 0561 0913 1202",81,"F","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1100 W  ADAMS                        BL","N/A",34.0348,-118.288
192020978,"2019-12-05","2019-12-05",1750,20,"Olympic",2036,2,624,"BATTERY - SIMPLE ASSAULT","416",41,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","600 S  CATALINA                     ST","N/A",34.0588,-118.295
191719960,"2019-12-20","2019-12-20",1230,17,"Devonshire",1756,2,900,"VIOLATION OF COURT ORDER","0913 1814 2038 1202",63,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","AO","Adult Other","17800    MERRIDY                      ST","N/A",34.2522,-118.522
190601329,"2019-12-04","2019-12-04",2315,6,"Hollywood",646,1,330,"BURGLARY FROM VEHICLE","1300 0344 1822 1402 1609",20,"F","O",101,"STREET","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","SUNSET                       BL","MC CADDEN",34.098,-118.338
191917817,"2019-10-12","2019-10-12",1615,19,"Mission",1983,2,624,"BATTERY - SIMPLE ASSAULT","0416 0417",17,"F","H",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","PARTHENIA","SEPULVEDA",34.2283,-118.468
190508803,"2019-04-20","2019-04-20",1100,5,"Harbor",564,2,666,"BUNCO, ATTEMPT","1202 0701 0930",66,"F","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","200 S  PALOS VERDES                 ST","N/A",33.7424,-118.281
191718172,"2019-11-18","2019-11-14",1800,17,"Devonshire",1728,1,330,"BURGLARY FROM VEHICLE","1609 0344 1305 1822",58,"M","O",101,"STREET","N/A","N/A","IC","Invest Cont","18200    CHATSWORTH                   ST","N/A",34.2707,-118.535
190217019,"2019-08-21","2019-08-21",1245,2,"Rampart",212,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1202 1300 1307 1822",90,"M","W",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","400 N  MADISON                      AV","N/A",34.0777,-118.289
200706393,"2020-02-20","2019-04-01",1600,7,"Wilshire",724,2,900,"VIOLATION OF COURT ORDER","2038 1813",29,"F","O",710,"OTHER PREMISE","N/A","N/A","IC","Invest Cont","7600    BEVERLY                      BL","N/A",34.0761,-118.355
191521737,"2019-12-04","2019-11-27",855,15,"N Hollywood",1526,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 0394",29,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","11600    OXNARD                       ST","N/A",34.1849,-118.383
190716588,"2019-09-13","2019-09-13",2245,7,"Wilshire",764,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0400 0416 2000",27,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","1400 S  COCHRAN                      AV","N/A",34.0483,-118.353
191117219,"2019-09-26","2019-01-31",800,11,"Northeast",1146,2,354,"THEFT OF IDENTITY","1822",31,"F","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","2600    PIRTLE                       ST","N/A",34.0979,-118.244
190812194,"2019-07-04","2019-07-04",1200,8,"West LA",835,1,310,"BURGLARY","1822 0321 0352 1605 1202 0344",61,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","2100 S  BENTLEY                      AV","N/A",34.0421,-118.438
191417009,"2019-07-28","2019-07-28",1015,14,"Pacific",1453,2,946,"OTHER MISCELLANEOUS CRIME","1501",40,"F","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","4000    BEETHOVEN                    ST","N/A",33.9901,-118.433
190414177,"2019-09-04","2019-09-04",1900,4,"Hollenbeck",409,2,624,"BATTERY - SIMPLE ASSAULT","0446 0603 0444",37,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","3900    GUARDIA                      AV","N/A",34.0898,-118.17
191522226,"2019-12-18","2019-12-18",730,15,"N Hollywood",1538,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 1300",40,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","11100    BURBANK                      BL","N/A",34.1758,-118.375
200604858,"2020-01-20","2020-01-19",1730,6,"Hollywood",666,1,480,"BIKE - STOLEN","344",28,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","6200    FOUNTAIN                     AV","N/A",34.0944,-118.325
191006263,"2019-02-20","2019-02-07",1500,10,"West Valley",1023,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","1803 0344 1202",67,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","AA","Adult Arrest","19100    HARTLAND                     ST","N/A",34.1948,-118.549
191316795,"2019-08-15","2019-08-15",930,13,"Newton",1325,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0913 0444 0429",27,"F","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1100 E  ADAMS                        BL","N/A",34.0188,-118.255
191713321,"2019-07-26","2019-07-26",815,17,"Devonshire",1716,1,350,"THEFT, PERSON","0447 0444 0603",53,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","AA","Adult Arrest","12100    BRADFORD                     PL","N/A",34.2908,-118.506
191911448,"2019-05-24","2019-03-01",1200,19,"Mission",1972,2,946,"OTHER MISCELLANEOUS CRIME","1906 1258",53,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","9000    COLUMBUS                     AV","N/A",34.2337,-118.465
191516998,"2019-09-08","2019-09-05",1800,15,"N Hollywood",1522,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","329",30,"F","H",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","13000    VANOWEN                      ST","N/A",34.194,-118.416
190219318,"2019-10-01","2019-10-01",1030,2,"Rampart",265,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0385 0344 1608",22,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","800 S  BONNIE BRAE                  ST","N/A",34.0547,-118.277
190508793,"2019-04-20","2019-04-20",1110,5,"Harbor",528,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0447 1814 1243",38,"F","H",501,"SINGLE FAMILY DWELLING","306","ROCK/THROWN OBJECT","IC","Invest Cont","900 E  L                            ST","N/A",33.7874,-118.252
191121478,"2019-12-31","2019-12-24",1900,11,"Northeast",1173,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","329",32,"F","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","AO","Adult Other","1900    VESTAL                       AV","N/A",34.0869,-118.253
191521900,"2019-12-12","2019-12-12",1645,15,"N Hollywood",1548,1,330,"BURGLARY FROM VEHICLE","344",37,"M","H",108,"PARKING LOT","N/A","N/A","IC","Invest Cont","5300    LANKERSHIM                   BL","N/A",34.167,-118.376
190912051,"2019-06-09","2019-06-08",1915,9,"Van Nuys",901,1,210,"ROBBERY","0325 2004 0945",41,"F","B",242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","7200    SEPULVEDA                    BL","N/A",34.2085,-118.47
190615669,"2019-07-18","2019-07-18",145,6,"Hollywood",631,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0400 1813 1814",51,"M","W",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","9000    SAINT IVES                   DR","N/A",34.0938,-118.389
191810598,"2019-04-19","2019-04-19",2340,18,"Southeast",1822,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0448",21,"F","H",103,"ALLEY","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","MAIN                         ST","CENTURY                      BL",33.9456,-118.274
191713240,"2019-07-24","2019-06-21",1600,17,"Devonshire",1767,2,900,"VIOLATION OF COURT ORDER","2038 1906",23,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","AO","Adult Other","9400    RESEDA                       BL","N/A",34.241,-118.536
191228439,"2019-12-07","2019-12-07",515,12,"77th Street",1213,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0906 1822 0302 0371 1259",15,"M","H",101,"STREET","106","UNKNOWN FIREARM","IC","Invest Cont","WESTERN                      AV","54TH                         ST",33.9933,-118.309
191410034,"2019-04-08","2019-04-07",1600,14,"Pacific",1452,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","0344 1300",30,"F","A",707,"GARAGE/CARPORT","N/A","N/A","IC","Invest Cont","00    IRONSIDES                    ST","N/A",33.9743,-118.463
190320463,"2019-09-10","2019-09-05",2110,3,"Southwest",353,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1202 2021 1906 0603 0913",66,"M","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","3600    VIRGINIA                     RD","N/A",34.0231,-118.339
192014608,"2019-08-01","2019-08-01",1130,20,"Olympic",2029,2,624,"BATTERY - SIMPLE ASSAULT","0416 0446 0417 1210",61,"M","W",719,"MEDICAL/DENTAL OFFICES","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","600 S  WESTMORELAND                 AV","N/A",34.0637,-118.288
200804398,"2020-01-09","2019-12-24",1100,8,"West LA",859,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1202 1906 0913",62,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","AO","Adult Other","1600 S  PREUSS                       RD","N/A",34.0506,-118.384
190615754,"2019-07-10","2019-07-10",1000,6,"Hollywood",666,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","329",35,"F","B",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","6200    BANNER                       AV","N/A",34.0917,-118.324
190800769,"2019-10-28","2019-10-28",2045,8,"West LA",889,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1822 0344 0342 1402 1300 1606",42,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","1900    CHARITON                     ST","N/A",34.0428,-118.377
